timestamp,hour,heart_rate,resting_hr,hr_variability,is_sleep,is_anomaly
2025-12-05 01:32:41.976005,1,141.0,62.1,51.9,1,1
2025-12-05 02:32:41.976005,2,58.2,56.3,37.6,1,0
2025-12-05 03:32:41.976005,3,62.3,63.5,38.7,1,0
2025-12-05 04:32:41.976005,4,63.5,56.3,41.4,1,0
2025-12-05 05:32:41.976005,5,56.1,57.7,30.0,1,0
2025-12-05 06:32:41.976005,6,75.8,56.2,40.0,0,0
2025-12-05 07:32:41.976005,7,74.5,58.2,39.3,0,0
2025-12-05 08:32:41.976005,8,64.6,54.6,35.1,0,0
2025-12-05 09:32:41.976005,9,76.1,54.9,40.0,0,0
2025-12-05 10:32:41.976005,10,74.8,55.6,44.6,0,0
2025-12-05 11:32:41.976005,11,70.8,55.3,36.3,0,0
2025-12-05 12:32:41.976005,12,75.4,59.1,47.7,0,0
2025-12-05 13:32:41.976005,13,71.6,59.5,53.4,0,0
2025-12-05 14:32:41.976005,14,65.7,55.8,33.1,0,0
2025-12-05 15:32:41.976005,15,78.7,53.0,22.1,0,0
2025-12-05 16:32:41.976005,16,80.0,53.8,31.9,0,0
2025-12-05 17:32:41.976005,17,73.9,56.9,46.9,0,0
2025-12-05 18:32:41.976005,18,61.1,55.1,34.0,0,0
2025-12-05 19:32:41.976005,19,75.6,56.0,36.6,0,0
2025-12-05 20:32:41.976005,20,70.5,58.2,41.7,0,0
2025-12-05 21:32:41.976005,21,67.9,61.2,35.8,0,0
2025-12-05 22:32:41.976005,22,71.3,56.4,45.7,0,0
2025-12-05 23:32:41.976005,23,61.7,55.3,87.5,1,1
2025-12-06 00:32:41.976005,0,61.9,55.9,39.8,1,0
2025-12-06 01:32:41.976005,1,63.8,61.1,39.3,1,0
2025-12-06 02:32:41.976005,2,64.4,58.6,47.2,1,0
2025-12-06 03:32:41.976005,3,69.5,58.7,37.0,1,0
2025-12-06 04:32:41.976005,4,67.0,57.5,35.6,1,0
2025-12-06 05:32:41.976005,5,59.1,54.4,36.4,1,0
2025-12-06 06:32:41.976005,6,58.4,57.5,46.8,0,0
2025-12-06 07:32:41.976005,7,62.6,57.3,40.3,0,0
2025-12-06 08:32:41.976005,8,76.1,54.4,37.7,0,0
2025-12-06 09:32:41.976005,9,72.8,59.4,49.6,0,0
2025-12-06 10:32:41.976005,10,75.1,56.6,32.2,0,0
2025-12-06 11:32:41.976005,11,68.8,56.4,26.1,0,0
2025-12-06 12:32:41.976005,12,80.4,57.4,38.0,0,0
2025-12-06 13:32:41.976005,13,73.0,57.3,48.1,0,0
2025-12-06 14:32:41.976005,14,71.6,58.8,32.0,0,0
2025-12-06 15:32:41.976005,15,68.2,56.3,33.9,0,0
